BATHRM,HF_BATHRM,HEAT,AC,BEDRM,AYB,EYB,PRICE,GBA,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,WARD,SALEYEAR,RMDL
3,1,Hot Water Rad,1,5,1912.0,1978,1210000.0,2216.0,2 Story,Row Inside,Excellent,4,Common Brick,Built Up,Hardwood,1,1,11,2333,Ward 1,2013.0,1
6,0,Warm Cool,1,6,1906.0,1969,1380000.0,3012.0,3 Story,Row Inside,Good Quality,4,Stone,Metal- Sms,Hardwood,3,2,24,2417,Ward 1,2016.0,1
2,1,Hot Water Rad,1,3,1927.0,1969,800000.0,1776.0,2.5 Story Fin,Single,Good Quality,4,Stucco,Comp Shingle,Hardwood,1,1,12,4600,Ward 4,2015.0,1
3,1,Forced Air,1,5,1939.0,1969,900000.0,2784.0,2.5 Story Fin,Single,Good Quality,4,Common Brick,Shingle,Hardwood,1,2,12,9047,Ward 4,2015.0,1
2,1,Hot Water Rad,1,5,1927.0,1972,970000.0,2342.0,2 Story,Single,Very Good,4,Common Brick,Slate,Hardwood,1,1,12,6121,Ward 4,2015.0,1
2,1,Forced Air,1,4,1962.0,1980,920000.0,1954.0,Split Level,Single,Above Average,4,Brick/Siding,Comp Shingle,Hardwood,1,2,12,6000,Ward 4,2014.0,1
3,1,Warm Cool,1,5,1923.0,1969,851000.0,3206.0,2.5 Story Fin,Single,Good Quality,4,Stucco,Slate,Hardwood,2,1,12,8198,Ward 4,2014.0,1
4,1,Hot Water Rad,1,4,1927.0,1969,967500.0,2842.0,2 Story,Single,Good Quality,4,Common Brick,Slate,Hardwood,2,1,12,6000,Ward 4,2012.0,1
3,1,Forced Air,1,4,1928.0,1984,1157325.0,1750.0,2 Story,Semi-Detached,Above Average,5,Common Brick,Metal- Sms,Hardwood,1,1,13,4238,Ward 4,2017.0,1
2,2,Hot Water Rad,0,5,1928.0,1957,850000.0,1720.0,2 Story,Semi-Detached,Above Average,4,Common Brick,Metal- Sms,Hardwood,1,1,13,4238,Ward 4,2017.0,0
2,1,Forced Air,1,4,1928.0,1967,750000.0,1560.0,2.5 Story Fin,Semi-Detached,Above Average,4,Common Brick,Slate,Hardwood,1,1,13,8073,Ward 4,2015.0,1
2,1,Hot Water Rad,1,3,1912.0,1986,776000.0,1680.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,0,11,3675,Ward 4,2016.0,1
1,1,Hot Water Rad,0,3,1912.0,1960,530000.0,1465.0,2 Story,Row End,Good Quality,3,Common Brick,Metal- Sms,Lt Concrete,1,0,11,3072,Ward 4,2013.0,1
3,0,Hot Water Rad,0,5,1914.0,1960,430000.0,2139.0,2 Story,Row Inside,Good Quality,3,Common Brick,Metal- Sms,Lt Concrete,2,1,11,2048,Ward 4,2010.0,0
3,1,Warm Cool,1,4,1914.0,1986,1075000.0,2139.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,1,11,2048,Ward 4,2016.0,1
3,1,Forced Air,1,4,1904.0,1986,915000.0,2191.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,2,1,24,2048,Ward 4,2015.0,1
3,0,Forced Air,1,4,1957.0,1976,760000.0,1683.0,1.5 Story Fin,Single,Above Average,4,Common Brick,Comp Shingle,Hardwood,1,2,12,5762,Ward 4,2011.0,1
2,0,Warm Cool,1,3,1964.0,1981,810000.0,1094.0,1 Story,Single,Above Average,4,Common Brick,Comp Shingle,Hardwood,1,0,12,5045,Ward 4,2018.0,1
1,2,Warm Cool,1,3,1956.0,1976,600000.0,1271.0,1 Story,Single,Above Average,4,Common Brick,Built Up,Hardwood,1,1,12,5100,Ward 4,2014.0,1
3,1,Forced Air,1,4,1923.0,1969,749900.0,1560.0,2 Story,Row Inside,Good Quality,4,Common Brick,Built Up,Hardwood,1,1,11,2412,Ward 1,2010.0,1
2,1,Hot Water Rad,0,4,1923.0,1960,815000.0,1580.0,2 Story,Row Inside,Good Quality,3,Common Brick,Metal- Sms,Hardwood,1,0,11,2415,Ward 1,2013.0,1
